v1,v2
spam,WIN $1000 CASH! Reply YES to claim your prize!
spam,Congratulations! You won a FREE iPhone. Click here now!
spam,URGENT: Your account has been compromised. Verify now!
spam,Limited time offer - Buy now and save 50%
spam,Free entry in 2 a wkly comp to win FA Cup final tkts
spam,URGENT! You have won a 1 week FREE membership
spam,FreeMsg Hey there darling it's been 3 week's now
spam,Had your mobile 11 months or more? U R entitled
spam,"SIX chances to win CASH! From 100 to 20,000 pounds"
spam,PRIVATE! Your 2003 Account Statement shows
ham,"Hey, are we still meeting tomorrow for lunch?"
ham,Can you send me report before Friday please?
ham,"Thanks for your message, I will get back to you soon."
ham,Meeting scheduled for next Monday at 3 PM
ham,Please review the attached document
ham,Your package has been shipped - tracking number included
ham,Nah I dont think he goes to usf
ham,Even my brother is not like to speak with me
ham,I have a date on Sunday with Will
ham,Ok lar... Joking wif u oni...
spam,WINNER!! As a valued network customer you have been
spam,"Mobile 07xxxxxxxxx You have won a £1,000 prize"
spam,URGENT 2nd notice. Your account will be closed
spam,SPECIAL PROMOTION! Buy now and save 70%
spam,CONGRATULATIONS! You've been selected for a FREE gift
spam,CLAIM your FREE trial now! Limited time only
spam,DOUBLE your mobile minutes! Text YES to claim
spam,FREE ringtone! Reply to this message now
spam,URGENT: We tried to contact you about your prize
spam,You have been chosen to receive a FREE laptop
ham,I'm back & we're packing the car now
ham,I've been searching for the right words to thank you
ham,What time are we meeting tomorrow?
ham,Can you send me the files when you get a chance?
ham,Great presentation today! Really enjoyed it
ham,Let me know when you're available for a call
ham,Thanks for your help with the project
ham,See you at the office tomorrow morning
ham,Don't forget about the meeting at 2pm
ham,I'll call you when I get home tonight
